id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,17.48,10495022061,25,17477631794,1406982174,19.3,17.32,-1.1129275329500175,-5.98652,-665019670.2779369,-5.95894,600483073.71,1000000000.0,1000000000.0,44.92,-61.06503,2021-05-03T05:25:04.822Z,1.03,1597.66319,2020-09-17T01:20:38.214Z,,2024-12-09T10:25:26.696Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,124.13,9347690126,26,10429615858,1097250374,135.65,123.17,-7.851588538541364,-5.94913,-587840855.67202,-5.91655,75286183.23347135,84000000.0,84000000.0,410.26,-69.69226,2021-05-10T03:13:07.904Z,1.15,10723.11142,2015-01-14T00:00:00.000Z,,2024-12-09T10:25:27.951Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,7.21,8775954887,27,8821504990,699585724,7.88,7.13,-0.3168504599272408,-4.21197,-386974833.2910557,-4.22327,1217906155.0,1224227490.0,,20.44,-64.70909,2022-01-16T22:09:45.873Z,0.526762,1269.26972,2020-11-04T16:09:15.137Z,,2024-12-09T10:25:26.636Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.33,8629179180,28,9195425587,2785052,9.51,9.03,-0.1704753767291507,-1.79468,-154001301.6437111,-1.75337,924569301.9,985239504.0,,9.63,-3.0152,2024-12-04T20:00:24.959Z,0.799859,1067.0679,2019-12-24T15:14:35.376Z,,2024-12-09T10:25:34.399Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,4080.45,7306025308,29,7306025308,15015389,4234.23,4064.31,-85.93558661100224,-2.06259,-159528587.51022625,-2.13686,1789461.624627067,1789461.624627067,,4311.81,-5.63177,2024-12-06T20:32:25.758Z,2231.18,82.36932,2024-01-08T03:35:28.624Z,,2024-12-09T10:25:32.522Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,13.44,7210048058,30,15201387675,468835134,14.55,13.32,-0.7764621276560568,-5.46268,-404343897.655777,-5.31026,535933348.7880828,1129941234.336773,,19.92,-32.50083,2023-01-26T14:25:17.390Z,3.08,336.59079,2022-12-29T21:35:14.796Z,,2024-12-09T10:25:33.422Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,13.54,6453970880,31,7146879635,337870399,14.67,13.41,-0.7424644925411048,-5.1991,-336925118.6371584,-4.96142,475489974.3218941,526539347.2429884,,700.65,-98.06555,2021-05-10T16:05:53.653Z,2.87,373.07493,2023-09-22T00:29:57.369Z,,2024-12-09T10:25:24.748Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,1.0,5507554939,32,5507554939,164979920,1.006,0.99874,-0.000849706140391593,-0.08486,231157527.0,4.38097,5502172220.044288,5502172220.044288,,1.032,-2.96312,2023-12-20T15:38:34.596Z,0.929486,7.74775,2024-10-04T07:57:15.809Z,,2024-12-09T10:25:32.646Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.643949,5380065200,33,6643415955,412367371,0.706447,0.63666,-0.04143431961507371,-6.04543,-350631722.59672356,-6.11848,8351744102.617736,10312906621.16844,,1.29,-50.11732,2024-03-13T18:55:06.692Z,0.286453,124.2147,2024-11-04T21:55:33.611Z,,2024-12-09T10:25:27.854Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1.001,5285779570,34,5285779570,35033457,1.005,0.996438,0.00218115,0.21845,-7056385.053261757,-0.13332,5281568739.733018,5281568739.733018,,1.057,-5.38359,2024-10-29T05:40:51.197Z,0.948265,5.49795,2024-10-03T13:19:28.826Z,,2024-12-09T10:25:32.989Z
