,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
76,solv-btc,solvbtc,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,90299.0,1495064134,77,1495842087,21254279.0,91308.0,89467.0,192.22,0.21332,33062894.0,2.26148,16569.5105239163,16578.1324304363,21000000.0,92768.0,-2.82481,2024-11-13T16:15:35.654Z,49058.0,83.7571,2024-08-05T06:28:45.311Z,,2024-11-17T15:38:20.721Z,+
0,bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,90515.0,1789923044900,1,1899984534750,49033406507.0,91439.0,89507.0,147.85,0.16362,-1787156246.4309082,-0.09975,19783521.0,21000000.0,21000000.0,93477.0,-3.29785,2024-11-13T16:15:35.520Z,67.81,133207.33824,2013-07-06T00:00:00.000Z,,2024-11-17T15:38:17.298Z,+
139,gnosis,gno,Gnosis,https://coin-images.coingecko.com/coins/images/662/large/logo_square_simple_300px.png?1696501854,255.77,661910435,140,766813307,10038755.0,261.57,251.16,0.315125,0.12336,-1535788.1183723211,-0.23149,2589589.0,3000000.0,3000000.0,644.2,-60.30567,2021-11-08T17:33:29.302Z,6.88,3614.52847,2020-03-13T02:24:11.825Z,,2024-11-17T15:38:20.400Z,+
113,arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,90349.0,883959580,113,883959580,120564577.0,91201.0,89306.0,101.59,0.11256,2183634.0,0.24764,9794.18900309,9794.18900309,,92925.0,-3.00306,2024-11-13T16:15:25.409Z,49594.0,81.74425,2024-08-05T13:30:13.831Z,,2024-11-17T15:38:14.007Z,+
236,polygon-bridged-wbtc-polygon-pos,wbtc,Polygon Bridged WBTC (Polygon POS),https://coin-images.coingecko.com/coins/images/39530/large/wbtc.png?1722809402,90348.0,346080269,237,346080269,10559152.0,91138.0,89390.0,60.92,0.06747,-534966.0318199396,-0.15434,3830.50966038,3830.50966038,,92855.0,-2.84241,2024-11-13T16:15:39.721Z,49937.0,80.65738,2024-08-05T13:19:56.346Z,,2024-11-17T15:38:17.596Z,+
172,bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),https://coin-images.coingecko.com/coins/images/26115/large/btcb.png?1696525205,90435.0,517890169,173,517890515,60469882.0,91318.0,89499.0,22.39,0.02477,-5001503.297441542,-0.95651,5727.91709224,5727.92091656,,93003.0,-2.79653,2024-11-13T16:15:42.138Z,7806.11,1058.0999,2023-03-03T05:01:42.603Z,,2024-11-17T15:38:15.776Z,+
176,pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,2561.94,504992907,177,504992907,12858698.0,2575.37,2549.03,-0.0705672632052483,-0.00275,-600971.2091437578,-0.11886,197185.776,197185.776,,2855.83,-10.30958,2024-04-13T21:01:41.334Z,1399.64,83.00472,2019-11-18T03:09:35.959Z,,2024-11-17T15:38:16.942Z,-
189,tbtc,tbtc,tBTC,https://coin-images.coingecko.com/coins/images/11224/large/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1696511155,90062.0,453967615,189,453967615,13001348.0,91091.0,89002.0,-36.465386382027646,-0.04047,-1661542.9339919686,-0.36467,5042.98300722,5042.98300722,,92395.0,-2.48375,2024-11-13T17:15:38.717Z,10104.3,791.69715,2020-09-23T00:00:00.000Z,,2024-11-17T15:38:21.979Z,-
81,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,90422.0,1342842454,82,1342842454,277685525.0,91469.0,89522.0,-51.81019272607227,-0.05727,1302320.0,0.09708,14849.2294077,14849.2294077,,93196.0,-3.05342,2024-11-13T16:25:28.705Z,57439.0,57.2987,2024-09-12T14:07:41.775Z,,2024-11-17T15:38:16.961Z,-
226,compound-wrapped-btc,cwbtc,cWBTC,https://coin-images.coingecko.com/coins/images/10823/large/cwbtc.png?1696510780,1815.01,362477402,227,362477402,0.0,1835.09,1798.05,-1.1454284420015028,-0.06307,-2219194.6717647314,-0.6085,199710.54171322,199710.54171322,,1874.9,-3.18376,2024-11-13T16:15:44.192Z,91.15,1891.42472,2020-03-16T11:09:17.436Z,,2024-11-17T15:35:26.768Z,-
